013038**** - Дирекция Миграция,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2013-09-11,200,,,,10,,,,,,,,,,,,,,,,,,,,,210
2013-09-12,,,,,3000,,,,,,,,,,,,,,,,,,,,,3000
2013-09-13,,,,,1393.91,,,,,,,,,,,3487.85,,,,,,,,,,4881.76
2013-09-16,,,,,620,,,,,,,,,,,,,,,,,,,,,620
2013-09-24,296456,,2413.69,,11582.59,,,,,,,,,,,1050.22,,,,,,,,,,311502.5
2013-09-27,31080,,,,162439.15,,,,,,,,,,,8190.34,,,,,,,,,,201709.49
2013-10-07,,,,,9636.08,,,,,8278.04,,,,,,,,,,,,,,,,17914.12
2013-10-08,,,,,5368,,,,,,,,,,,,,,,,,,,,,5368
2013-10-09,,,,,6673.96,,,,,,,,,,,,,,,,,,,,,6673.96
2013-10-10,22860,,,,3797,,,,,,,,,,,,,,,,,,,,,26657
2013-10-14,,,,,32378.72,,,,,,,,,,,3478.54,,,,,,,,,,35857.26
2013-10-15,,,,,2800,,,,,,,,,,,545,,,,,,,,,,3345
2013-10-16,,,,,140,,,,,,,,,,,7,,,,,,,,,,147
2013-10-18,,,,,280,,,,,,,,,,,,,,,,,,,,,280
2013-10-22,,,,,22387.85,,,,,,,,,,,,,,,,,,,,,22387.85
2013-10-23,284401.85,,2396.47,,460,,,,,,,,,,,,,,,,,,,,,287258.32
2013-10-24,,,,,2541.74,,,,,,,,,,,,,,,,,,,,,2541.74
2013-10-28,4146.6,,,,,,,,,,,,,,,,,,,,,,,,,4146.6
