0138000002 - Дирекция "НС 112",01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2013-04-10,47220,,,,,,,,,,,,,,,,,,,,,,,,,47220
2013-04-15,,,,,5833.67,,,,,,,,,,,,,,,,,,,,,5833.67
2013-04-17,172146.66,,,,,,,,,,,,,,,,,,,,,,,,,172146.66
2013-04-18,,,,,485.84,,,,,,,,,,,,,,,,,,,,,485.84
2013-04-22,,,,,5414.4,,,,,,,,,,,,,,,,,,,,,5414.4
2013-04-24,,,,,694.85,,,,,,,,,,,,,,,,,,,,,694.85
2013-04-26,314531.76,,7755.62,,,,,,,,,,,,,,,,,,,,,,,322287.38
2013-04-29,,,,,17984.02,,,,,,,,,,,,,,,,,,,,,17984.02
2013-04-30,,,200.8,,2275.33,,,,,,,,,,,,,,,,,,,,,2476.13
2013-05-09,,,,,5077.09,,,,,,,,,,,,,,,,,,,,,5077.09
2013-05-10,48120,,,,336.27,,,,,,,,,,,,,,,,,,,,,48456.27
2013-05-13,,,,,289.74,,,,,,,,,,,,,,,,,,,,,289.74
2013-05-16,,,,,1003.77,,,,,,,,,,,,,,,,,,,,,1003.77
2013-05-23,281836.29,,8091.97,,11141.58,,,,,,,,,,,,,,,,,,,,,301069.84
2013-05-27,,,,,335.41,,,,,,,,,,,,,,,,,,,,,335.41
2013-05-31,,,,,25160.33,,,,,,,,,,,,,,,,,,,,,25160.33
2013-06-07,,,,,4625.94,,,,,,,,,,,,,,,,,,,,,4625.94
2013-06-11,47270,,,,518.53,,,,,,,,,,,,,,,,,,,,,47788.53
2013-06-12,,,,,779.39,,,,,,,,,,,,,,,,,,,,,779.39
2013-06-17,,,,,1591.62,,,,,,,,,,,,,,,,,,,,,1591.62
2013-06-19,,,,,11151.74,,,,,,,,,,,,,,,,,,,,,11151.74
2013-06-25,288418.64,,7807.31,,,,,,,,,,,,,,,,,,,,,,,296225.95
2013-06-26,,,,,533.85,,,,,,,,,,,,,,,,,,,,,533.85
2013-06-27,,,,,160,,,,,,,,,,,,,,,,,,,,,160
2013-06-28,,,,,6212.21,,,,,,,,,,,,,,,,,,,,,6212.21
2013-07-03,,,,,1400.86,,,,,,,,,,,,,,,,,,,,,1400.86
2013-07-09,,,,,676.7,,,,,,,,,,,,,,,,,,,,,676.7
2013-07-11,47170,,,,3436.91,,,,,,,,,,,,,,,,,,,,,50606.91
2013-07-16,,,,,4023.08,,,,,,,,,,,,,,,,,,,,,4023.08
2013-07-23,,,,,11260.38,,,,,,,,,,,,,,,,,,,,,11260.38
2013-07-24,,,,,372,,,,,,,,,,,,,,,,,,,,,372
2013-07-25,382000.7,,7916.14,,,,,,,,,,,,,,,,,,,,,,,389916.84
2013-07-30,,,,,13947.33,,,,,,,,,,,,,,,,,,,,,13947.33
2013-07-31,,,,,10,,,,,,,,,,,,,,,,,,,,,10
2013-08-06,,,,,2501.35,,,,,,,,,,,,,,,,,,,,,2501.35
2013-08-08,,,,,3412.22,,,,,,,,,,,,,,,,,,,,,3412.22
2013-08-09,46590,,,,3000,,,,,,,,,,,,,,,,,,,,,49590
2013-08-13,,,,,100.44,,,,,,,,,,,,,,,,,,,,,100.44
2013-08-14,,,,,1592.32,,,,,,,,,,,,,,,,,,,,,1592.32
2013-08-19,,,,,11868.78,,,,,,,,,,,,,,,,,,,,,11868.78
2013-08-21,,,,,172.5,,,,,,,,,,,,,,,,,,,,,172.5
2013-08-26,283980.39,,7812.54,,,,,,,,,,,,,,,,,,,,,,,291792.93
2013-08-28,,,,,3368.8,,,,,,,,,,,,,,,,,,,,,3368.8
2013-08-29,,,,,4390,,,,,,,,,,,,,,,,,,,,,4390
2013-09-10,,,,,3740.96,,,,,,,,,,,,,,,,,,,,,3740.96
2013-09-11,46440,,,,3477.6,,,,,,,,,,,,,,,,,,,,,49917.6
2013-09-13,,,,,66.24,,,,,,,,,,,,,,,,,,,,,66.24
2013-09-16,,,,,1148.1,,,,,,,,,,,,,,,,,,,,,1148.1
2013-09-20,,,,,290.83,,,,,,,,,,,,,,,,,,,,,290.83
2013-09-24,,,,,26588,,,,,,,,,,,,,,,,,,,,,26588
2013-09-25,,,,,11644.34,,,,,,,,,,,,,,,,,,,,,11644.34
2013-09-26,285850.72,,7379.81,,422,,,,,,,,,,,,,,,,,,,,,293652.53
2013-09-27,,,14.66,,132864.21,,,,,,,,,,,,,,,,,,,,,132878.87
2013-09-30,,,,,178.8,,,,,,,,,,,,,,,,,,,,,178.8
2013-10-07,,,,,1742.02,,,,,,,,,,,,,,,,,,,,,1742.02
2013-10-08,,,,,3055.58,,,,,,,,,,,,,,,,,,,,,3055.58
2013-10-09,,,,,283.35,,,,,,,,,,,,,,,,,,,,,283.35
2013-10-11,45490,,,,62.93,,,,,,,,,,,,,,,,,,,,,45552.93
2013-10-14,,,,,915.35,,,,,,,,,,,,,,,,,,,,,915.35
2013-10-17,,,,,10963.75,,,,,,,,,,,,,,,,,,,,,10963.75
2013-10-23,,,,,8573.42,,,,,,,,,,,,,,,,,,,,,8573.42
2013-10-25,296856.61,,7922.8,,,,,,,,,,,,,,,,,,,,,,,304779.41
2013-11-01,,,,,656536.81,,,,,,,,,,,,,,,,,,,,,656536.81
2013-11-08,45940,,,,2589.16,,,,,,,,,,,,,,,,,,,,,48529.16
2013-11-11,,,,,2970.81,,,,,,,,,,,,,,,,,,,,,2970.81
2013-11-13,,,,,853.84,,,,,,,,,,,,,,,,,,,,,853.84
2013-11-14,,,,,91.15,,,,,,,,,,,,,,,,,,,,,91.15
2013-11-18,157418.64,,,,448.17,,,,,,,,,,,,,,,,,,,,,157866.81
2013-11-20,,,,,160,,,,,,,,,,,,,,,,,,,,,160
2013-11-21,,,,,1584.11,,,,,,,,,,,,,,,,,,,,,1584.11
2013-11-22,276244.71,,7158.32,,,,,,,,,,,,,,,,,,,,,-1137.13,,282265.9
2013-11-25,,,693.4,,28.08,,,,,,,,,,,,,,,,,,,,,721.48
2013-11-28,,,,,14174.94,,,,,,,,,,,,,,,,,,,,,14174.94
2013-11-29,,,,,41986,,,,,,,,,,,,,,,,,,,,,41986
2013-12-06,,,,,2946.87,,,,,,,,,,,,,,,,,,,,,2946.87
2013-12-11,,,,,5311.3,,,,,,,,,,,,,,,,,,,,,5311.3
2013-12-12,,,,,917.93,,,,,,,,,,,,,,,,,,,,,917.93
2013-12-13,,,,,2242.18,,,,,,,,,,,,,,,,,,,,,2242.18
2013-12-17,404596.11,,8181.97,,,,,,,,,,,,,,,,,,,,,,,412778.08
2013-12-18,,,,,14968.19,,,,,,,,,,,,,,,,,,,,,14968.19
2013-12-20,,,,,267510.24,,,,,,,,,,,,,,,,,,,-431.93,,267078.31
2014-01-09,,,,,7039.33,,,,,,,,,,,,,,,,,,,,,7039.33
2014-01-15,,,,,918.1,,,,,,,,,,,,,,,,,,,,,918.1
2014-01-17,,,,,1995.52,,,,,,,,,,,,,,,,,,,,,1995.52
