0130330008 - СД "ОТО",01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2013-04-03,,,,,10664.96,,,,,,,,,,,15000,,,,,,,,,,25664.96
2013-04-08,,,,,5830,,,,,,,,,,,,,,,,,,,,,5830
2013-04-10,,,,,43.2,,,,,,,,,,,,,,,,,,,,,43.2
2013-04-11,600399.94,,,,,,,,,,,,,,,,,,,,,,,,,600399.94
2013-04-12,,,,,,,,,,,,,,,,735.56,,,,,,,,,,735.56
2013-04-15,,,,,805.68,,,,,,,,,,,,,,,,,,,,,805.68
2013-04-17,33.33,,,,6945.26,,,,,,,,,,,,,,,,,,,,,6978.59
2013-04-23,1693860.06,,85239.56,,,,,,,,,,,,,,,,,,,,,,,1779099.62
2013-04-24,29796.69,,,,,,,,,,,,,,,,,,,,,,,,,29796.69
2013-04-25,16132.8,,,,136.34,,,,,,,,,,,,,,,,,,,,,16269.14
2013-04-26,,,,,6708.4,,,,,,,,,,,,,,,,,,,,,6708.4
2013-04-29,200,,,,5422.4,,,,,,,,,,,,,,,,,,,,,5622.4
2013-05-06,,,,,10000,,,,,,,,,,,15000,,,,,,,,,,25000
2013-05-09,,,,,10000,,,,,,,,,,,15000,,,,,,,,,,25000
2013-05-10,,,,,9690,,,,,,,,,,,,,,,,,,,,,9690
2013-05-13,,,,,100,,,,,,,,,,,,,,,,,,,,,100
2013-05-14,,,,,823.01,,,,,,,,,,,18.95,,,,,,,,,,841.96
2013-05-15,,,,,476,,,,,,,,,,,,,,,,,,,,,476
2013-05-16,,,,,894.78,,,,,,,,,,,,,,,,,,,,,894.78
2013-05-17,,,,,10830.4,,,,,,,,,,,,,,,,,,,,,10830.4
2013-05-18,466.68,,,,1000,,,,,,,,,,,,,,,,,,,,,1466.68
2013-05-20,1709094.05,,83261.04,,,,,,,,,,,,,,,,,,,,,,,1792355.09
2013-05-22,266.68,,,,350,,,,,,,,,,,,,,,,,,,,,616.68
2013-05-23,835.37,,,,400,,,,,,,,,,,,,,,,,,,,,1235.37
2013-05-27,44712.2,,,,792,,,,,,,,,,,,,,,,,,,,,45504.2
2013-05-30,,,,,3089.08,,,,,,,,,,,,,,,,,,,,,3089.08
2013-05-31,,,,,5343.54,,,,,,,,,,,,,,,,,,,,,5343.54
2013-06-12,,,,,10829.42,,,,,,,,,,,,,,,,,,,,,10829.42
2013-06-13,,,,,273,,,,,,,,,,,,,,,,,,,,,273
2013-06-14,,,,,850.72,,,,,,,,,,,,,,,,,,,,,850.72
2013-06-19,200,,,,680.91,,,,,,,,,,,,,,,,,,,,,880.91
2013-06-20,,,,,480,,,,,,,,,,,,,,,,,,,,,480
2013-06-24,1707449.07,,83129.53,,531.48,,,,,,,,,,,,,,,,,,,,,1791110.08
2013-06-26,,,,,965.9,,,,,,,,,,,,,,,,,,,,,965.9
2013-06-28,,,,,3188.97,,,,,,,,,,,,,,,,,,,,,3188.97
2013-07-05,,,,,12360,,,,,,,,,,,15000,,,,,,,,,,27360
2013-07-11,,,,,1042.64,,,,,,,,,,,,,,,,,,,,,1042.64
2013-07-12,,,,,450,,,,,,,,,,,3330.22,,,,,,,,,,3780.22
2013-07-15,,,,,5992.14,,,,,,,,,,,,,,,,,,,,,5992.14
2013-07-24,2019481,,85252.63,,,,,,,,,,,,,,,,,,,,,,,2104733.63
2013-07-26,182296,,,,,,,,,,,,,,,,,,,,,,,,,182296
2013-08-07,,,,,10980.76,,,,,,,,,,,15000,,,,,,,,,,25980.76
2013-08-12,,,,,7050,,,,,,,,,,,,,,,,,,,,,7050
2013-08-19,,,,,798.98,,,,,,,,,,,11901.59,,,,,,,,,,12700.57
2013-08-22,1703928.69,,82026.8,,,,,,,,,,,,,,,,,,,,,,,1785955.49
2013-08-26,,,226.09,,729.41,,,,,,,,,,,,,,,,,,,,,955.5
2013-08-27,110564,,,,,,,,,,,,,,,,,,,,,,,,,110564
2013-08-28,,,,,465.8,,,,,,,,,,,,,,,,,,,,,465.8
2013-09-05,,,,,10000,,,,,,,,,,,15000,,,,,,,,,,25000
2013-09-10,,,,,126,,,,,,,,,,,,,,,,,,,,,126
2013-09-12,500,,,,6807.23,,,,,,,,,,,,,,,,,,,,,7307.23
2013-09-16,,,,,753.34,,,,,,,,,,,8255.04,,,,,,,,,,9008.38
2013-09-18,,,,,660,,,,,,,,,,,,,,,,,,,,,660
2013-09-20,,,,,326,,,,,,,,,,,,,,,,,,,,,326
2013-09-24,,,,,7464.34,,,,,,,,,,,,,,,,,,,,,7464.34
2013-09-26,1582921.81,,75194.23,,,,,,,,,,,,,,,,,,,,,,,1658116.04
2013-09-27,393682.16,,,,508.04,,,,,,,,,,,,,,,,,,,,,394190.2
2013-09-30,4666.62,,,,28925.44,,,,,,,,,,,1798,,,,,,,,,,35390.06
2013-10-09,,,,,1526,,,,,,,,,,,,,,,,,,,,,1526
2013-10-11,,,,,1487.6,,,,,,,,,,,,,,,,,,,,,1487.6
2013-10-14,,,,,,,,,,,,,,,,4256.08,,,,,,,,,,4256.08
2013-10-16,,,,,103.45,,,,,,,,,,,,,,,,,,,,,103.45
2013-10-18,,,,,1501.03,,,,,,,,,,,,,,,,,,,,,1501.03
2013-10-23,,,,,238.79,,,,,,,,,,,,,,,,,,,,,238.79
2013-10-24,1594584.48,,71960.45,,,,,,,,,,,,,,,,,,,,,,,1666544.93
2013-10-25,,,,,9993.98,,,,,,,,,,,,,,,,,,,,,9993.98
2013-10-28,138984,,,,,,,,,,,,,,,,,,,,,,,,,138984
2013-10-30,33616,,,,60.68,,,,,,,,,,,,,,,,,,,,,33676.68
2013-11-08,,,,,11726.68,,,,,,,,,,,15000,,,,,,,,,,26726.68
2013-11-13,,,,,3159.22,,,,,,,,,,,,,,,,,,,,,3159.22
2013-11-14,,,,,1636.47,,,,,,,,,,,199.63,,,,,,,,,,1836.1
2013-11-18,123437.11,,,,566,,,,,,,,,,,,,,,,,,,,,124003.11
2013-11-19,,,,,852.92,,,,,,,,,,,,,,,,,,,,,852.92
2013-11-22,,,,,1231,,,,,,,,,,,,,,,,,,,-17210.86,,-15979.86
2013-11-27,1537359.14,,64956.43,,,,,,,,,,,,,,,,,,,,,,,1602315.57
2013-11-28,723375.4,,,,,,,,,,,,,,,,,,,,,,,,,723375.4
2013-11-29,30968,,,,70,,,,,,,,,,,,,,,,,,,,,31038
2013-12-04,15323.34,,,,17134.1,,,,,,,,,,,15000,,,,,,,,,,47457.44
2013-12-06,,,,,7620,,,,,,,,,,,,,,,,,,,,,7620
2013-12-09,,,,,6015,,,,,,,,,,,,,,,,,,,,,6015
2013-12-12,,,,,6984.06,,,,,,,,,,,,,,,,,,,,,6984.06
2013-12-13,,,,,326,,,,,,,,,,,,,,,,,,,,,326
2013-12-16,,,,,,,,,,,,,,,,,,,,,,,,-15000.5,,-15000.5
2013-12-18,1858487.38,,65423.73,,35813.04,,,,,,,,,,,,,,,,,,,,,1959724.15
2013-12-19,2904592.16,,,,13671.65,,,,,,,,,,,,,,,,,,,,,2918263.81
2013-12-20,,,,,501.44,,,,,,,,,,,,,,,,,,,-54.35,,447.09
