Всички,Дирекция,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2012-08-27,0130310001 - САД "ПУБ",,,,,1953.81,,,,,,,,,,,,,,,,,,,,,1953.81
2012-08-27,013032**** - САД "УССД",,,,,38546.15,,,,,,,,,,,10809.71,,,,,,,,,,49355.86
2012-08-27,0130330008 - СД "ОТО",,,,,9321.17,,,,,,,,,,,,,,,,,,,,,9321.17
2012-08-27,013034**** - Академия на МВР,,,,,13.36,,,,,,,,,,,,,,,,,,,,,13.36
2012-08-27,013036**** - Медицински институт,,,,,399.65,,,,,,,,,,,,,,,,,,,,,399.65
2012-08-27,013040**** - СДВР,259138.11,,,,1939.97,,,,,,,,,,60,360,,,,,,,,,,261498.08
2012-08-27,013070**** - ГД "Гранична полиция",,,,,724.89,,,,,,,,,,,2822.01,,,,,,,,,,3546.9
2012-08-27,0130900008 - САД "Международни проекти",,,,,7926.02,,,,,,,,,,,,,,,,,,,,,7926.02
2012-08-27,0131000021 - ОД на МВР - Бургас,,,,,799.26,,,,,,,,,,,4574.06,,,,,,,,,,5373.32
2012-08-27,0131000058 - ОД на МВР - Видин,,,,,8865.56,,,,,,,,,,200,,,,,,,,,,,9065.56
2012-08-27,0131000079 - ОД на МВР - Габрово,17646.2,,,,5000,,,,,,,,,,,448.37,,,,,,,,,,23094.57
2012-08-27,0131000084 - ОД на МВР - Добрич,,,,,8460.78,,,,,,,,,,,,,,,,,,,,,8460.78
2012-08-27,0131000090 - ОД на МВР - Кърджали,15561.36,,,,,,,,,,,,,,,,,,,,,,,,,15561.36
2012-08-27,0131000103 - ОД на МВР - Кюстендил,,,,,6464.89,,,,,,,,,,,,,,,,,,,,,6464.89
2012-08-27,0131000145 - ОД на МВР - Перник,,,,,1674.4,,,,,,,,,,,1375.15,,,,,,,,,,3049.55
2012-08-27,0131000150 - ОД на МВР - Плевен,25788,,,,18886.5,,,,,,,,,,,,,,,,,,,,,44674.5
2012-08-27,0131000171 - ОД на МВР - Разград,,,,,2455,,,,,,,,,,,,,,,,,,,,,2455
2012-08-27,0131000206 - ОД на МВР - Сливен,,,,,17919.57,,,,,,,,,,,,,,,,,,,,,17919.57
2012-08-27,0131000227 - ОД на МВР - София,,,,,8927.54,,,,,,,,,,,,,,,,,,,,,8927.54
2012-08-27,0133000000 - Държавна агенция за бежанците,458.76,50.97,,,,,,,,,,,,,,,,,,,,,,,,509.73
2012-08-28,013032**** - САД "УССД",33606.57,3243.86,1710,,2290.6,,,,,88835,,,,,,11596.56,,,,,,,,,,141282.59
2012-08-28,013034**** - Академия на МВР,49.45,5.5,,,21072.2,,,,,,,,,,,2243.88,,,,,,,,,,23371.03
2012-08-28,013036**** - Медицински институт,,341.01,,,2887.12,,,,,,,,,,,,,,,,,,,,,3228.13
2012-08-28,013070**** - ГД "Гранична полиция",28135,,,,37550.78,,,,,,,,,,,,,,,,,,,,,65685.78
2012-08-28,0131000042 - ОД на МВР - В. Търново,150,,1291.61,,14219.27,,,,,,,,,,,230.52,,,,,,,,,,15891.4
2012-08-28,0131000058 - ОД на МВР - Видин,,,,,353.52,,,,,,,,,,,,,,,,,,,,,353.52
2012-08-28,0131000063 - ОД на МВР - Враца,801852.38,89541.15,58798.9,,,,,,,,,,,,,,,,,,,,,,,950192.43
2012-08-28,0131000079 - ОД на МВР - Габрово,,,,,663.32,,,,,,,,,,,,,,,,,,,,,663.32
2012-08-28,0131000103 - ОД на МВР - Кюстендил,,,,,26343.67,,,,,,,,,,,,,,,,,,,,,26343.67
2012-08-28,0131000150 - ОД на МВР - Плевен,,,,,1122.87,,,,,,,,,,,,,,,,,,,,,1122.87
