0134000004 - САД "КИС",01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2013-04-23,288876.86,,7158.34,,2000,,,,,,,,,,,,,,,,,,,,,298035.2
2013-04-26,3771,,,,,,,,,,,,,,,,,,,,,,,,,3771
2013-04-29,,,,,688515.75,,,,,,,,,,,,,,,,,,,,,688515.75
2013-05-10,32150,,,,2000,,,,,,,,,,,,,,,,,,,,,34150
2013-05-13,,,,,355258.77,,,,,,,,,,,,,,,,,,,,,355258.77
2013-05-15,,,,,31102.22,,,,,,,,,,,,,,,,,,,,,31102.22
2013-05-17,,,,,3467.79,,,,,,,,,,,,,,,,,,,,,3467.79
2013-05-20,,,,,1750.45,,,,,,,,,,,,,,,,,,,,,1750.45
2013-05-21,290731.36,,7252.18,,876.07,,,,,,,,,,,,,,,,,,,,,298859.61
2013-05-23,,,,,1140.76,,,,,,,,,,,,,,,,,,,,,1140.76
2013-05-31,873.09,,,,4612.31,,,,,,,,,,,,,,,,,,,,,5485.4
2013-06-06,,,,,347109.21,,,,,,,,,,,,,,,,,,,,,347109.21
2013-06-12,36020,,,,29686,,,,,,,,,,,,,,,,,,,,,65706
2013-06-18,,,,,7984.12,,,,,,,,,,,,,,,,,,,,,7984.12
2013-06-19,,,,,556.72,,,,,,,,,,,,,,,,,,,,,556.72
2013-06-21,294906.99,,7656.85,,1000,,,,,,,,,,,,,,,,,,,,,303563.84
2013-06-27,,,,,13046.11,,,,,,,,,,,,,,,,,,,,,13046.11
2013-07-03,8000,,,,145025.4,,,,,,,,,,,,,,,,,,,,,153025.4
2013-07-05,,,,,9.61,,,,,,,,,,,,,,,,,,,,,9.61
2013-07-10,34320,,,,2024.9,,,,,,,,,,,,,,,,,,,,,36344.9
2013-07-11,,,,,180,,,,,,,,,,,,,,,,,,,,,180
2013-07-17,,,,,921.55,,,,,,,,,,,,,,,,,,,,,921.55
2013-07-23,362580.1,,7659.77,,26023.56,,,,,,,,,,,,,,,,,,,,,396263.43
2013-07-26,27888,,,,,,,,,,,,,,,,,,,,,,,,,27888
2013-07-29,,,,,29977.13,,,,,,,,,,,,,,,,,,,,,29977.13
2013-07-30,,,,,14.98,,,,,,,,,,,,,,,,,,,,,14.98
2013-08-08,33680,,300,,251410.15,,,,,,,,,,,,,,,,,,,,,285390.15
2013-08-14,2000,,,,,,,,,,,,,,,,,,,,,,,,,2000
2013-08-21,,,,,4699.2,,,,,,,,,,,,,,,,,,,,,4699.2
2013-08-22,294538.2,,7942.1,,5662.22,,,,,,,,,,,,,,,,,,,,,308142.52
2013-08-23,,,,,21542.08,,,,,,,,,,,,,,,,,,,,,21542.08
2013-08-27,,,,,1255.19,,,,,,,,,,,,,,,,,,,,,1255.19
2013-08-28,3531.6,,,,,,,,,,,,,,,,,,,,,,,,,3531.6
2013-08-30,78.53,,,,24978.73,,,,,,,,,,,,,,,,,,,,,25057.26
2013-09-05,,,,,253905.49,,,,,,,,,,,,,,,,,,,,,253905.49
2013-09-11,33670,,,,,,,,,,,,,,,,,,,,,,,,,33670
2013-09-24,299518.66,,7368.37,,,,,,,,,,,,,,,,,,,,,,,306887.03
2013-09-26,,,,,193189.02,,,,,,,,,,,,,,,,,,,,,193189.02
2013-09-27,150.39,,,,201779.07,,,,,,,,,,,,,,,,,,,,,201929.46
2013-10-10,32820,,,,,,,,,,,,,,,,,,,,,,,,,32820
2013-10-22,,,,,31662.76,,,,,,,,,,,,,,,,,,,,,31662.76
2013-10-23,302738.14,,7217.26,,4583.34,,,,,,,,,,,,,,,,,,,,,314538.74
