18.10.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,44236,,,,,,,,,,,,,,,,,,,,,44236
013031**** - САД "ПУБ",,,,,202605.74,,,,,,,,,,,,,,,,,,,,,202605.74
013032**** - САД "УССД",,,,,11792.72,,,,,,,,,,,,,,,,,,,,,11792.72
0130330008 - СД "ОТО",,,,,1501.03,,,,,,,,,,,,,,,,,,,,,1501.03
0130350004 - ИСТ,,,,,372,,,,,,,,,,,,,,,,,,,,,372
013036**** - Медицински институт,,,,,7799.69,,,,,,,,,,,2580.58,,,,,,,,,,10380.27
013038**** - Дирекция Миграция,,,,,280,,,,,,,,,,,,,,,,,,,,,280
013060**** - ГД "Национална полиция",,,,,5520.94,,,,,,,,,,,,,,,,,,,,,5520.94
013070**** - ГД "Гранична полиция",,,,,6503.25,,,,,,,,,,,2713,,,,,,,,,,9216.25
0130900008 - САД "Международни проекти",,,,,891.6,,,,,,,,,,,,,,,,,,,,,891.6
0131000021 - ОД на МВР - Бургас,,,,,270,,,,,,,,,,,,,,,,,,,,,270
0131000058 - ОД на МВР - Видин,,,,,500.8,,,,,,,,,,,,,,,,,,,,,500.8
0131000079 - ОД на МВР - Габрово,,,,,212.4,,,,,,,,,,,1330.34,,,,,,,,,,1542.74
0131000084 - ОД на МВР - Добрич,,,,,30,,,,,,,,,,,,,,,,,,,,,30
0131000145 - ОД на МВР - Перник,,,,,28.7,,,,,,,,,,,,,,,,,,,,,28.7
0131000150 - ОД на МВР - Плевен,,,,,32.33,,,,,,,,,,,,,,,,,,,,,32.33
0131000166 - ОД на МВР - Пловдив,,,,,11055.65,,,,,,,,,,,1668.23,,,,,,,,,,12723.88
0131000171 - ОД на МВР - Разград,,,,,1000,,,,,,,,,,35,,,,,,,,,,,1035
0131000192 - ОД на МВР - Силистра,,,,,,,,,,,,,,,,1149.48,,,,,,,,,,1149.48
0131000206 - ОД на МВР - Сливен,,,,,1129.14,,,,,,,,,,,94.4,,,,,,,,,,1223.54
0131000211 - ОД на МВР - Смолян,,,,,955.76,,,,,,,,,,,2000,,,,,,,,,,2955.76
0131000227 - ОД на МВР - София,,,,,4000,,,,,,,,,,,,,,,,,,,,,4000
0131000232 - ОД на МВР - Ст.Загора,,,,,,,,,,,,,,,,1254.78,,,,,,,,,,1254.78
0131000253 - ОД на МВР - Хасково,,,,,,,,,,,,,,,,83.92,,,,,,,,,,83.92
0131000269 - ОД на МВР - Шумен,,,,,1600,,,,,,,,,,,,,,,,,,,,,1600
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,,,,,72.27,,,,,,,,,,,,,,,,,,,,,72.27
0139890003 - Фонд за безопасност на движението,,,,,,,,,,,,,,,,480,,,,,,,,,,480
