20.11.2012,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
013032**** - САД "УССД",,,,,79325.31,,,,,,,,,,,11632.17,,,,,,,,,,90957.48
0130330008 - СД "ОТО",1560140.08,169663.12,80213.99,,6886.89,,,,,,,,,,,5000,,,,,,,,,,1821904.08
013060**** - ГД "Национална полиция",165866.38,76175.14,6359.9,,69.39,,,,,,,,,,,,,,,,,,,,,248470.81
013070**** - ГД "Гранична полиция",515.5,22.5,,,14594.57,,,,,,,,,,,,,,,,,,,,,15132.57
0130900008 - САД "Международни проекти",,,,,3437.58,,,,,,3085.73,,,11070,,,,,,,,,,,,17593.31
0131000021 - ОД на МВР - Бургас,,,,,,,,,,2844.7,,,,,,,,,,,,,,,,2844.7
0131000042 - ОД на МВР - В. Търново,,,,,571.01,,,,,,,,,,,539.02,,,,,,,,,,1110.03
0131000103 - ОД на МВР - Кюстендил,,,,,,,,,,12960,,,,,,,,,,,,,,,,12960
0131000145 - ОД на МВР - Перник,,,,,856.76,,,,,,,,,,,1222.65,,,,,,,,,,2079.41
0131000171 - ОД на МВР - Разград,,,,,132,,,,,,,,,,,,,,,,,,,,,132
0131000192 - ОД на МВР - Силистра,,,,,280,,,,,,,,,,,,,,,,,,,,,280
0131000206 - ОД на МВР - Сливен,,,,,300,,,,,,,,,,,,,,,,,,,,,300
0131000211 - ОД на МВР - Смолян,,,,,3782.75,,,,,7147.62,,,,,,515.38,,,,,,,,,,11445.75
0131000227 - ОД на МВР - София,,,,,1168.07,,,,,,,,,,,,,,,,,,,,,1168.07
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,120225.03,14680.38,4377.99,,441.9,,,,,,,,,,,,,,,,,,,,,139725.3
0136000003 - ГДБОП,507019.08,57142.83,7143.19,,12998.74,,,,,,,,,,,,,,,,,,,,,584303.84
013700**** - ГД ПБЗН,2164145.04,234718.42,153486.02,,2973.64,,,,,205,,,,,,,,,,,,,,,,2555528.12
0138000002 - Дирекция "НС 112",,,,,469,,,,,,,,,,,,,,,,,,,,,469
