15.04.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,,,,,,,,,,,,1299.52,,,,,,,,,,1299.52
013031**** - САД "ПУБ",,,,,14704.31,,,,,,,,,,,,,,,,,,,,,14704.31
013032**** - САД "УССД",8800,,,,7200,,,,,23423,,,,,,3537.04,,,,,,,,,,42960.04
0130330008 - СД "ОТО",,,,,805.68,,,,,,,,,,,,,,,,,,,,,805.68
0130350004 - ИСТ,,,,,1045.86,,,,,,,,,,,,,,,,,,,,,1045.86
013036**** - Медицински институт,,,,,20013.87,,,,,,,,,,,4155.68,,,,,,,,,,24169.55
013038**** - Дирекция Миграция,,,,,30000,,,,,,,,,,,,,,,,,,,,,30000
013040**** - СДВР,62466.59,,,,1213.78,,,,,,,,,,,,,,,,,,,,,63680.37
013060**** - ГД "Национална полиция",,,,,28120.12,,,,,,,,,,,,,,,,,,,,,28120.12
013070**** - ГД "Гранична полиция",2400,,,,34450.5,,,,,,,,,,,7463.87,,,,,,,,,,44314.37
0131000016 - ОД на МВР - Благоевград,,,,,,,,,,,,,,,534.1,,,,,,,,,,,534.1
0131000021 - ОД на МВР - Бургас,,,,,17467.79,,,,,,,,,,,,,,,,,,,,,17467.79
0131000042 - ОД на МВР - В. Търново,,,,,19824.86,,,,,,,,,,,1416.95,,,,,,,,,,21241.81
0131000058 - ОД на МВР - Видин,,,,,7500,,,,,,,,,,,,,,,,,,,,,7500
0131000063 - ОД на МВР - Враца,,,,,20505.4,,,,,,,,,,,117768.99,,,,,,,,,,138274.39
0131000084 - ОД на МВР - Добрич,,,,,193.31,,,,,,,,,,,,,,,,,,,,,193.31
0131000103 - ОД на МВР - Кюстендил,,,,,414,,,,,,,,,,,4284.43,,,,,,,,,,4698.43
0131000124 - ОД на МВР - Ловеч,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
0131000150 - ОД на МВР - Плевен,,,,,11330,,,,,,,,,,,,,,,,,,,,,11330
0131000171 - ОД на МВР - Разград,,,,,,,,,,,,,,,620,,,,,,,,,,,620
0131000192 - ОД на МВР - Силистра,,,,,1624.71,,,,,,,,,,,370.91,,,,,,,,,,1995.62
0131000211 - ОД на МВР - Смолян,,,,,3356.5,,,,,,,,,,,,,,,,,,,,,3356.5
0131000274 - ОД на МВР - Ямбол,,,,,,,,,,,,,,,50.11,,,,,,,,,,,50.11
0133000000 - Държавна агенция за бежанците,,,,,6770.18,,,,,,,,,,,,,,,,,,,,,6770.18
013700**** - ГД ПБЗН,5366.67,,,,38538.96,,,,,,,,,,201.6,191544.17,,,,,,,,,,235651.4
0138000002 - Дирекция "НС 112",,,,,5833.67,,,,,,,,,,,,,,,,,,,,,5833.67
