19.09.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
013032**** - САД "УССД",,,,,270064.47,,,,,140377.69,,,,,,34533.3,,,,,,,,,,444975.46
013036**** - Медицински институт,,,,,7248.21,,,,,,,,,,,117.1,,,,,,,,,,7365.31
013040**** - СДВР,,,,,124090.1,,,,,,,,,,162,88.52,,,,,,,,,,124340.62
013070**** - ГД "Гранична полиция",,,,,4478.29,,,,,,,,,,,527.19,,,,,,,,,,5005.48
0131000037 - ОД на МВР - Варна,,,,,,,,,,,,,,,,1513.27,,,,,,,,,,1513.27
0131000042 - ОД на МВР - В. Търново,,,,,7,,,,,,,,,,,140,,,,,,,,,,147
0131000058 - ОД на МВР - Видин,,,,,417.83,,,,,,,,,,,,,,,,,,,,,417.83
0131000063 - ОД на МВР - Враца,,,,,936.5,,,,,,,,,,,,,,,,,,,,,936.5
0131000079 - ОД на МВР - Габрово,,,,,2476.94,,,,,,,,,,,,,,,,,,,,,2476.94
0131000084 - ОД на МВР - Добрич,,,,,15.06,,,,,,,,,,,,,,,,,,,,,15.06
0131000119 - ОД на МВР - Монтана,,,,,1680.34,,,,,,,,,,,,,,,,,,,,,1680.34
0131000124 - ОД на МВР - Ловеч,,,,,15875,,,,,,,,,,,,,,,,,,,,,15875
0131000145 - ОД на МВР - Перник,,,,,1000,,,,,,,,,,,486.87,,,,,,,,,,1486.87
0131000150 - ОД на МВР - Плевен,,,,,10.94,,,,,,,,,,,,,,,,,,,,,10.94
0131000192 - ОД на МВР - Силистра,,,,,30,,,,,,,,,,,,,,,,,,,,,30
0131000206 - ОД на МВР - Сливен,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
0131000248 - ОД на МВР - Търговище,,,,,346.2,,,,,,,,,,,,,,,,,,,,,346.2
0131000253 - ОД на МВР - Хасково,,,,,,,,,,,,,,,,400.58,,,,,,,,,,400.58
0131000274 - ОД на МВР - Ямбол,,,,,,,,,,,,,,,,1609.4,,,,,,,,,,1609.4
0133000000 - Държавна агенция за бежанците,35470.74,,,,297961.01,,,,,22890,,,,,,,,,,,,,,,,356321.75
013700**** - ГД ПБЗН,,,,,8639.87,,,,,,,,,,,,,,,,,,,,,8639.87
