17.09.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
013031**** - САД "ПУБ",,,,,14541.91,,,,,,,,,,,,,,,,,,,,,14541.91
013032**** - САД "УССД",,,,,21746.98,,,,,,,,,,,52635.99,,,,,,,,,,74382.97
0130350004 - ИСТ,,,,,465.84,,,,,,,,,,,,,,,,,,,,,465.84
013036**** - Медицински институт,,,,,6957.69,,,,,,,,,,,8435.32,,,,,,,,,,15393.01
013040**** - СДВР,,,,,29996.97,,,,,,,,,,,90,,,,,,,,,,30086.97
013070**** - ГД "Гранична полиция",1128.12,,,,6975.18,,,,,,,,,,,2100.04,,,,,,,,,,10203.34
0131000042 - ОД на МВР - В. Търново,,,,,,,,,,,,,,,,1220.76,,,,,,,,,,1220.76
0131000145 - ОД на МВР - Перник,,,,,8754.51,,,,,,,,,,182,466.93,,,,,,,,,,9403.44
0131000171 - ОД на МВР - Разград,,,,,2132.09,,,,,,,,,,,,,,,,,,,,,2132.09
0131000192 - ОД на МВР - Силистра,,,,,50,,,,,,,,,,,55,,,,,,,,,,105
0131000253 - ОД на МВР - Хасково,,,,,1000,,,,,,,,,,,430.1,,,,,,,,,,1430.1
0131000269 - ОД на МВР - Шумен,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,,,,,538.13,,,,,,,,,,,,,,,,,,,,,538.13
013700**** - ГД ПБЗН,,,,,7648.19,,,,,,,,,,,,,,,,,,,,,7648.19
