23.08.2012,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,912749,,,,,,,,,,,,,,,,,,,,,912749
0130310001 - САД "ПУБ",1187492.29,136846.25,29333.73,,,,,,,,,,,,,,,,,,,,,,,1353672.27
013032**** - САД "УССД",91920.57,6492.77,2560.52,,13472.55,,,,,,,,,,,18558.95,,,,,,,,,,133005.36
0130330008 - СД "ОТО",112110.98,,,,988.81,,,,,,,,,,,,,,,,,,,,,113099.79
013034**** - Академия на МВР,240641.29,24113.84,23793.9,,62884.6,,,,,,,,,,,5297.88,,,,,,,,,,356731.51
0130350004 - ИСТ,83802,14700.98,69617.92,,,,,,,,,,,,,,,,,,,,,,,168120.9
013036**** - Медицински институт,536480.57,52898.56,33753.2,,,,,,,,,,,,,,,,,,,,,,,623132.33
0130380009 - Дирекция Миграция,230027.37,24941.06,1678.51,,,,,,,,,,,,,,,,,,,,,,,256646.94
013060**** - ГД "Национална полиция",1043344.37,108263.35,37510.75,,1491.46,,,,,,,,,,,,,,,,,,,,,1190609.93
013070**** - ГД "Гранична полиция",1506203.75,169672.57,158382.23,,28057.07,,,,,,,,,,,,,,,,,,,,,1862315.62
0131000021 - ОД на МВР - Бургас,1528618.83,166595.19,27188.3,,24652.44,,,,,,,,,,,,,,,,,,,,,1747054.76
0131000037 - ОД на МВР - Варна,1439932.03,156313.41,88198.79,,,,,,,,,,,,,,,,,,,,,,,1684444.23
0131000042 - ОД на МВР - В. Търново,,,,,,,,,,,,,,,,813.2,,,,,,,,,,813.2
0131000058 - ОД на МВР - Видин,26232,,,,,,,,,,,,,,,,,,,,,,,,,26232
0131000079 - ОД на МВР - Габрово,394902.35,42944.92,27836.86,,,,,,,,,,,,,,,,,,,,,,,465684.13
0131000084 - ОД на МВР - Добрич,,,,,23225.56,,,,,,,,,,,,,,,,,,,,,23225.56
0131000103 - ОД на МВР - Кюстендил,67136.38,,,,4829.09,,,,,,,,,,,,,,,,,,,,,71965.47
0131000119 - ОД на МВР - Монтана,468177.07,53080.83,40147.29,,,,,,,,,,,,,,,,,,,,,,,561405.19
0131000124 - ОД на МВР - Ловеч,488129.69,53556.64,29627.83,,,,,,,,,,,,,,,,,,,,,,,571314.16
0131000130 - ОД на МВР - Пазарджик,20271.32,,,,20000.3,,,,,,,,,,,,,,,,,,,,,40271.62
0131000145 - ОД на МВР - Перник,448783.52,51518.32,20083.85,,596.77,,,,,,,,,,,138.6,,,,,,,,,,521121.06
0131000150 - ОД на МВР - Плевен,768372.54,84791.71,50670.72,,,,,,,,,,,,,,,,,,,,,,,903834.97
0131000166 - ОД на МВР - Пловдив,229496.83,189948.49,1616452.6,,22756.5,,,,,,,,,,,,,,,,,,,,,2058654.42
0131000171 - ОД на МВР - Разград,377912.32,41867.81,35362.9,,,,,,,,,,,,,,,,,,,,,,,455143.03
0131000187 - ОД на МВР - Русе,715073.07,75564.48,27608.2,,201.6,,,,,,,,,,,1886.76,,,,,,,,,,820334.11
0131000192 - ОД на МВР - Силистра,,,,,7000,,,,,,,,,,,,,,,,,,,,,7000
0131000206 - ОД на МВР - Сливен,17416,,,,,,,,,,,,,,,355.9,,,,,,,,,,17771.9
0131000211 - ОД на МВР - Смолян,371281.26,47019.24,44958.25,,200,,,,,,,,,,,,,,,,,,,,,463458.75
0131000232 - ОД на МВР - Ст.Загора,982715.28,111553.9,104897.91,,3100.8,,,,,,,,,,,,,,,,,,,,,1202267.89
0131000248 - ОД на МВР - Търговище,393244.59,41685.68,27223.43,,3396,,,,,,,,,,,,,,,,,,,,,465549.7
0131000253 - ОД на МВР - Хасково,717004.32,79506.62,38679.68,,,,,,,,,,,,,,,,,,,,,,,835190.62
0131000269 - ОД на МВР - Шумен,561882.88,55032.22,16786.64,,,,,,,,,,,,,,,,,,,,,,,633701.74
0131000274 - ОД на МВР - Ямбол,337534.22,42165.81,23203.3,,,,,,,,,,,,,,,,,,,,,,,402903.33
0134000004 - САД "КИС",,,215,,,,,,,,,,,,,,,,,,,,,,,215
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,118184.39,14638.33,4407.99,,290,,,,,,,,,,,,,,,,,,,,,137520.71
0136000003 - ГДБОП,15672.56,,1537.39,,,,,,,,,,,,,,,,,,,,,,,17209.95
013700**** - ГД ПБЗН,1358981.88,118797.76,33837.13,,20911.84,,,,,,,,,,,50.09,,,,,,,,,,1532578.7
0139890003 - Фонд за безопасност на движението,,,,,,,,,,,,,,,,140,,,,,,,,,,140
