20.03.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
013031**** - САД "ПУБ",32605.2,,,,12063.01,,,,,,,,,,,,,,,,,,,,,44668.21
013032**** - САД "УССД",,,,,12,,,,,,,,,,,,,,,,,,,,,12
0130350004 - ИСТ,,,,,127.33,,,,,,,,,,,,,,,,,,,,,127.33
013036**** - Медицински институт,2055.27,,,,,,,,,,,,,,,3158,,,,,,,,,,5213.27
013038**** - Дирекция Миграция,,,,,59449.73,,,,,,,,,,,4433.03,,,,,,,,,,63882.76
013040**** - СДВР,,,,,,,,,,,,,,,,,,,,,,,,-1500000,,-1500000
013070**** - ГД "Гранична полиция",,,,,6041.69,,,,,,,,,,,,,,,,,,,,,6041.69
0131000021 - ОД на МВР - Бургас,,,,,3322.54,,,,,,,,,,,4460,,,,,,,,,,7782.54
0131000042 - ОД на МВР - В. Търново,4429.16,,,,1487.99,,,,,,,,,,,2824.71,,,,,,,,,,8741.86
0131000063 - ОД на МВР - Враца,,,,,10676.59,,,,,,,,,,,,,,,,,,,-1045000,,-1034323.41
0131000145 - ОД на МВР - Перник,,,,,8028.07,,,,,,,,,,,1647.07,,,,,,,,,,9675.14
0131000166 - ОД на МВР - Пловдив,,,,,13750.61,,,,,,,,,,,909.83,,,,,,,,,,14660.44
0131000171 - ОД на МВР - Разград,,,,,275.4,,,,,,,,,,,,,,,,,,,,,275.4
0131000187 - ОД на МВР - Русе,,,,,615,,,,,,,,,,,835.51,,,,,,,,,,1450.51
0131000206 - ОД на МВР - Сливен,,,,,2082.32,,,,,,,,,,,,,,,,,,,,,2082.32
0131000211 - ОД на МВР - Смолян,,,,,2876.25,,,,,,,,,,,,,,,,,,,,,2876.25
0131000232 - ОД на МВР - Ст.Загора,,,,,900.43,,,,,,,,,,,2273.6,,,,,,,,,,3174.03
0131000253 - ОД на МВР - Хасково,,,,,,,,,,,,,,,,1374.42,,,,,,,,,,1374.42
0133000000 - Държавна агенция за бежанците,,,,,9628.04,,,,,2284.8,,,,,,,,,,,,,,,,11912.84
0134000004 - САД "КИС",,,,,3389.77,,,,,,,,,,,,,,,,,,,,,3389.77
