08.10.2012,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,643198.02,,,,,27414.37,,,,,,,,,,,,,,,,670612.39
0130350004 - ИСТ,,,,,92.64,,,,,,,,,,,,,,,,,,,,,92.64
0130380009 - Дирекция Миграция,1317.6,103.35,,,3992.49,,,,,,,,,,,779.04,,,,,,,,,,6192.48
013060**** - ГД "Национална полиция",,,,,870,,,,,,,,,,,,,,,,,,,,,870
013070**** - ГД "Гранична полиция",,,,,20662.67,,,,,,,,,,,,,,,,,,,,,20662.67
0131000021 - ОД на МВР - Бургас,,,,,5265.35,,,,,,,,,,,,,,,,,,,,,5265.35
0131000042 - ОД на МВР - В. Търново,229.52,,,,,,,,,,,,,,,297.88,,,,,,,,,,527.4
0131000058 - ОД на МВР - Видин,800,,,,4744.6,,,,,,,,,,,,,,,,,,,,,5544.6
0131000090 - ОД на МВР - Кърджали,,,,,,,,,,,,,,,,2000,,,,,,,,,,2000
0131000130 - ОД на МВР - Пазарджик,,,,,15921.17,,,,,,,,,,,,,,,,,,,,,15921.17
0131000150 - ОД на МВР - Плевен,,,,,596.14,,,,,,,,,,,,,,,,,,,,,596.14
0131000166 - ОД на МВР - Пловдив,,,,,,,,,,,,,,,,6848.97,,,,,,,,,,6848.97
0131000187 - ОД на МВР - Русе,,,,,12415.06,,,,,,,,,,,,,,,,,,,,,12415.06
0131000192 - ОД на МВР - Силистра,,,,,672.06,,,,,,,,,,,,,,,,,,,,,672.06
0131000211 - ОД на МВР - Смолян,1589.65,124.68,,,8586.61,,,,,,,,,,,79.2,,,,,,,,,,10380.14
0131000227 - ОД на МВР - София,500,,,,4525,,,,,,,,,,,,,,,,,,,,,5025
0131000253 - ОД на МВР - Хасково,,,,,3000,,,,,,,,,,,,,,,,,,,,,3000
0131000269 - ОД на МВР - Шумен,,,,,12174.62,,,,,,,,,,,,,,,,,,,,,12174.62
0136000003 - ГДБОП,,,,,1908.76,,,,,,,,,,,,,,,,,,,,,1908.76
0138000002 - Дирекция "НС 112",,,,,1043.57,,,,,,,,,,,,,,,,,,,,,1043.57
0139890003 - Фонд за безопасност на движението,,,,,,,,,,,,,,,,570,,,,,,,,,,570
