11.10.2012,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130310001 - САД "ПУБ",,,,,878.49,,,,,,,,,,,,,,,,,,,,,878.49
013032**** - САД "УССД",3650,,,,,,,,,,,,,,,,,,,,,,,,,3650
0130330008 - СД "ОТО",,,,,5813.27,,,,,,,,,,,,,,,,,,,,,5813.27
013034**** - Академия на МВР,,,,,9951.12,,,,,,,,,,,,,,,,,,,,,9951.12
013040**** - СДВР,155045,,,,,,,,,,,,,,,,,,,,,,,,,155045
013070**** - ГД "Гранична полиция",41785,,,,41890.83,,,,,,,,,,,,,,,,,,,,,83675.83
0131000021 - ОД на МВР - Бургас,,,,,,,,,,,,,,,,5000,,,,,,,,,,5000
0131000063 - ОД на МВР - Враца,12220,,,,2500,,,,,,,,,,,,,,,,,,,,,14720
0131000079 - ОД на МВР - Габрово,,,,,4574.13,,,,,,,,,,,1904.39,,,,,,,,,,6478.52
0131000084 - ОД на МВР - Добрич,,,,,80,,,,,,,,,,,16166.87,,,,,,,,,,16246.87
0131000090 - ОД на МВР - Кърджали,,,,,813.11,,,,,,,,,,,2748.08,,,,,,,,,,3561.19
0131000103 - ОД на МВР - Кюстендил,24470,,,,2000,,,,,,,,,,,,,,,,,,,,,26470
0131000119 - ОД на МВР - Монтана,,,,,,,,,,,,,,,,924.23,,,,,,,,,,924.23
0131000145 - ОД на МВР - Перник,,,,,10991.3,,,,,,,,,,,,,,,,,,,,,10991.3
0131000150 - ОД на МВР - Плевен,300,,,,,,,,,,,,,,,,,,,,,,,,,300
0131000166 - ОД на МВР - Пловдив,24045,,,,1826.44,,,,,,,,,,,887.21,,,,,,,,,,26758.65
0131000171 - ОД на МВР - Разград,,,,,655.49,,,,,,,,,,,8432.22,,,,,,,,,,9087.71
0131000187 - ОД на МВР - Русе,,,,,75,,,,,,,,,,,2326.13,,,,,,,,,,2401.13
0131000192 - ОД на МВР - Силистра,,,,,1139.3,,,,,,,,,,,4538.58,,,,,,,,,,5677.88
0131000227 - ОД на МВР - София,400,,,,,,,,,,,,,,,,,,,,,,,,,400
0131000232 - ОД на МВР - Ст.Загора,9760,,,,,,,,,,,,,,,,,,,,,,,,,9760
0131000253 - ОД на МВР - Хасково,,,,,4986.12,,,,,,,,,,,609.82,,,,,,,,,,5595.94
0131000269 - ОД на МВР - Шумен,400,,,,2547.03,,,,,,,,,,,,,,,,,,,,,2947.03
0134000004 - САД "КИС",,,,,27306.32,,,,,,,,,,,,,,,,,,,,,27306.32
0136000003 - ГДБОП,,,,,682.02,,,,,,,,,,,392.58,,,,,,,,,,1074.6
013700**** - ГД ПБЗН,35573.01,207.42,,,27745.78,,,,,,,,,,,163099.9,,,,,,,,,,226626.11
0138000002 - Дирекция "НС 112",,,,,8361.74,,,,,,,,,,,,,,,,,,,,,8361.74
