05.11.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4357.73,,,,,,,,,,,,,,,,,,,,,4357.73
,,,,,,,,,,,,,,,,,,,,,,,,,,
