07.11.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,,,,,,144461.45,,,,,,,,,,,,,,,,144461.45
013038**** - Дирекция Миграция,,,,,16650,,,,,97298.64,,,,,,,,,,,,,,,,113948.64
0131000124 - ОД на МВР - Ловеч,,,,,5000,,,,,,,,,,,,,,,,,,,,,5000
0131000130 - ОД на МВР - Пазарджик,,,,,7478.33,,,,,,,,,,,,,,,,,,,,,7478.33
