04.10.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
013032**** - САД "УССД",,,,,261301.14,,,,,149816.82,,,,,,98511.03,,,,,,,,,,509628.99
013070**** - ГД "Гранична полиция",,,,,2670,,,,,,,,,,,,,,,,,,,,,2670
0130900008 - САД "Международни проекти",,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
0131000021 - ОД на МВР - Бургас,,,,,5000,,,,,,,,,,,5000,,,,,,,,,,10000
0131000037 - ОД на МВР - Варна,,,,,8314.31,,,,,,,,,,,,,,,,,,,,,8314.31
0131000079 - ОД на МВР - Габрово,,,,,1367.08,,,,,,,,,,,,,,,,,,,,,1367.08
0131000084 - ОД на МВР - Добрич,,,,,8113.29,,,,,,,,,,,3000,,,,,,,,,,11113.29
0131000090 - ОД на МВР - Кърджали,,,,,,,,,,,,,,,,3000,,,,,,,,,,3000
0131000103 - ОД на МВР - Кюстендил,,,,,1,,,,,,,,,,,,,,,,,,,,,1
0131000124 - ОД на МВР - Ловеч,,,,,12200.05,,,,,,,,,,,3591.11,,,,,,,,,,15791.16
0131000171 - ОД на МВР - Разград,,,,,5243.92,,,,,,,,,,,,,,,,,,,,,5243.92
0131000192 - ОД на МВР - Силистра,,,,,8137.78,,,,,,,,,,,,,,,,,,,,,8137.78
0131000206 - ОД на МВР - Сливен,,,,,2000,,,,,,,,,,,,,,,,,,,,,2000
0133000000 - Държавна агенция за бежанците,,,,,100000,,,,,,,,,,,,,,,,,,,,,100000
013700**** - ГД ПБЗН,,,,,13401.27,,,,,,,,,,,,,,,,,,,,,13401.27
