12.08.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,214052.2,,,,,,,,,,,,,,,,,,,,,214052.2
013031**** - САД "ПУБ",,,,,10217.27,,,,,,,,,,,,,,,,,,,,,10217.27
0130330008 - СД "ОТО",,,,,7050,,,,,,,,,,,,,,,,,,,,,7050
0130350004 - ИСТ,,,,,523.27,,,,,,,,,,,,,,,,,,,,,523.27
013036**** - Медицински институт,,,,,8098.01,,,,,,,,,,,5418.54,,,,,,,,,,13516.55
013040**** - СДВР,170095,,,,39051,,,,,,,,,,500,121.97,,,,,,,,,,209767.97
013060**** - ГД "Национална полиция",250,,,,,,,,,,,,,,,31689.97,,,,,,,,,,31939.97
013070**** - ГД "Гранична полиция",1805.59,,,,12517.95,,,,,,,,,,,2936.12,,,,,,,,,,17259.66
0131000016 - ОД на МВР - Благоевград,,,,,550,,,,,,,,,,,,,,,,,,,,,550
0131000021 - ОД на МВР - Бургас,,,,,3508.8,,,,,,,,,,,2000,,,,,,,,,,5508.8
0131000037 - ОД на МВР - Варна,,,,,200.57,,,,,,,,,,,2033.66,,,,,,,,,,2234.23
0131000058 - ОД на МВР - Видин,,,,,469.93,,,,,,,,,,,,,,,,,,,,,469.93
0131000084 - ОД на МВР - Добрич,,,,,,,,,,,,,,,,16233.73,,,,,,,,,,16233.73
0131000090 - ОД на МВР - Кърджали,,,,,3226.79,,,,,,,,,,,,,,,,,,,,,3226.79
0131000124 - ОД на МВР - Ловеч,,,,,42.05,,,,,,,,,,,,,,,,,,,,,42.05
0131000130 - ОД на МВР - Пазарджик,,,,,2851.62,,,,,,,,,,,,,,,,,,,,,2851.62
0131000145 - ОД на МВР - Перник,,,,,277.36,,,,,,,,,,,,,,,,,,,,,277.36
0131000150 - ОД на МВР - Плевен,,,,,22300.11,,,,,,,,,,,,,,,,,,,,,22300.11
0131000192 - ОД на МВР - Силистра,,,,,,,,,,,,,,,,13389.16,,,,,,,,,,13389.16
0131000206 - ОД на МВР - Сливен,,,,,12975.62,,,,,,,,,,,,,,,,,,,,,12975.62
0131000253 - ОД на МВР - Хасково,,,,,,,,,,,,,,,,115.55,,,,,,,,,,115.55
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,,,,,368.32,,,,,,,,,,,,,,,,,,,,,368.32
013700**** - ГД ПБЗН,,,,,11606.7,,,,,3700,,,,2753808,,209524.73,,,,,,,,,,2978639.43
