28.03.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
013031**** - САД "ПУБ",,,,,4597.1,,,,,,,,,,,,,,,,,,,,,4597.1
013032**** - САД "УССД",,,,,116148.87,,,,,,,,,,,3181.23,,,,,,,,,,119330.1
013034**** - Академия на МВР,390.27,,,,27945.47,,,,,,,,,,,4368.18,,,,,,,,,,32703.92
013036**** - Медицински институт,6339.3,,,,29642.91,,,,,,,,,,,8168.27,,,,,,,,,,44150.48
013038**** - Дирекция Миграция,161,,,,56875.21,,,,,,,,,,,6427.57,,,,,,,,,,63463.78
013040**** - СДВР,600,,,,76833.42,,,,,,,,,,132,,,,,,,,,,,77565.42
013060**** - ГД "Национална полиция",,,,,16.49,,,,,,,,,,,,,,,,,,,,,16.49
013070**** - ГД "Гранична полиция",1000,,,,70779.8,,,,,,,,,,,,,,,,,,,,,71779.8
0130900008 - САД "Международни проекти",,,,,,,,,,,,,,475.9,,,,,,,,,,,,475.9
0131000016 - ОД на МВР - Благоевград,,,,,,,,,,,,,,,,1438.23,,,,,,,,,,1438.23
0131000021 - ОД на МВР - Бургас,1500,,,,98375.55,,,,,,,,,,,,,,,,,,,,,99875.55
0131000042 - ОД на МВР - В. Търново,,,,,535,,,,,,,,,,,2070.44,,,,,,,,,,2605.44
0131000058 - ОД на МВР - Видин,,,,,1748.64,,,,,,,,,,,,,,,,,,,,,1748.64
0131000079 - ОД на МВР - Габрово,,,,,3996.6,,,,,,,,,,,371.3,,,,,,,,,,4367.9
0131000103 - ОД на МВР - Кюстендил,,,,,23885.52,,,,,,,,,,,,,,,,,,,,,23885.52
0131000119 - ОД на МВР - Монтана,,,,,3277.72,,,,,,,,,,,245.79,,,,,,,,,,3523.51
0131000130 - ОД на МВР - Пазарджик,,,,,3997.3,,,,,,,,,,,,,,,,,,,,,3997.3
0131000145 - ОД на МВР - Перник,,,,,5455.82,,,,,,,,,,90,2321.17,,,,,,,,,,7866.99
0131000150 - ОД на МВР - Плевен,,,,,13235.86,,,,,,,,,,,0.6,,,,,,,,,,13236.46
0131000171 - ОД на МВР - Разград,,,,,107.69,,,,,,,,,,,,,,,,,,,,,107.69
0131000187 - ОД на МВР - Русе,,,,,1308.97,,,,,,,,,,,1431.76,,,,,,,,,,2740.73
0131000192 - ОД на МВР - Силистра,,,,,131,,,,,,,,,,,441.83,,,,,,,,,,572.83
0131000206 - ОД на МВР - Сливен,260,,,,3348.46,,,,,,,,,,,536.88,,,,,,,,,,4145.34
0131000211 - ОД на МВР - Смолян,,,,,70,,,,,,,,,,,,,,,,,,,,,70
0131000232 - ОД на МВР - Ст.Загора,,,,,27379.22,,,,,,,,,,,2566.02,,,,,,,,,,29945.24
0131000248 - ОД на МВР - Търговище,,,,,1260.33,,,,,,,,,,,,,,,,,,,,,1260.33
0131000253 - ОД на МВР - Хасково,,,,,3831.94,,,,,,,,,,,205.75,,,,,,,,,,4037.69
0131000269 - ОД на МВР - Шумен,118.33,,,,100,,,,,,,,,,,,,,,,,,,,,218.33
0131000274 - ОД на МВР - Ямбол,,,,,1329.52,,,,,,,,,,,1832.97,,,,,,,,,,3162.49
0133000000 - Държавна агенция за бежанците,,,,,970,,,,,,,,,,,,,,,,,,,,,970
0134000004 - САД "КИС",,,,,28577.94,,,,,,,,,,,,,,,,,,,,,28577.94
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,,,,,66.84,,,,,,,,,,,,,,,,,,,,,66.84
