09.07.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,17440.89,,,,,4860,,,,,,,,,,,,,,,,22300.89
013031**** - САД "ПУБ",106250,,,,2298.62,,,,,,,,,,,,,,,,,,,,,108548.62
013032**** - САД "УССД",,,,,68979.33,,,,,51050.58,,,,,,31341.82,,,,,,,,,,151371.73
013034**** - Академия на МВР,15340,,,,15,,,,11090,,,,,,,,,,,,,,,,,26445
013036**** - Медицински институт,,,,,128176.25,,,,,,,,,,,31702.73,,,,,,,,,,159878.98
0130370000 - НСПО - ПУБ Китен,,,,,800,,,,,,,,,,,,,,,,,,,,,800
013038**** - Дирекция Миграция,22300,,,,,,,,,,,,,,,,,,,,,,,,,22300
013060**** - ГД "Национална полиция",17772,,,,,,,,,,,,,,,,,,,,,,,,,17772
013070**** - ГД "Гранична полиция",118185,,,,10057.83,,,,,,,,,,,,,,,,,,,,,128242.83
0131000021 - ОД на МВР - Бургас,,,,,1349.89,,,,,,,,,,,,,,,,,,,,,1349.89
0131000037 - ОД на МВР - Варна,,,,,1040.93,,,,,,,,,,,,,,,,,,,,,1040.93
0131000042 - ОД на МВР - В. Търново,,,,,53.6,,,,,,,,,,,262.48,,,,,,,,,,316.08
0131000058 - ОД на МВР - Видин,5690,,,,,,,,,,,,,,,,,,,,,,,,,5690
0131000079 - ОД на МВР - Габрово,,,,,504,,,,,,,,,,,,,,,,,,,,,504
0131000090 - ОД на МВР - Кърджали,50825,,,,,,,,,,,,,,,,,,,,,,,,,50825
0131000130 - ОД на МВР - Пазарджик,66680,,,,16003.91,,,,,,,,,,,,,,,,,,,,,82683.91
0131000171 - ОД на МВР - Разград,,,,,3845.34,,,,,,,,,,,,,,,,,,,,,3845.34
0131000187 - ОД на МВР - Русе,,,,,72,,,,,,,,,,,,,,,,,,,,,72
0131000206 - ОД на МВР - Сливен,67720,,,,,,,,,,,,,,,,,,,,,,,,,67720
0131000211 - ОД на МВР - Смолян,816.07,,,,12577.67,,,,,,,,,,,,,,,,,,,,,13393.74
0131000253 - ОД на МВР - Хасково,,,,,1084,,,,,,,,,,,,,,,,,,,,,1084
0131000274 - ОД на МВР - Ямбол,,,,,9697.34,,,,,,,,,,,3274.58,,,,,,,,,,12971.92
0133000000 - Държавна агенция за бежанците,,,,,30000,,,,,26013.04,,,,,,,,,,,,,,,,56013.04
0136000003 - ГДБОП,43990,,,,2250,,,,,,,,,,,,,,,,,,,,,46240
013700**** - ГД ПБЗН,184600,,,,,,,,,,,,,1920,,,,,,,,,,,,186520
0138000002 - Дирекция "НС 112",,,,,676.7,,,,,,,,,,,,,,,,,,,,,676.7
