02.10.2012,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
013034**** - Академия на МВР,,,,,24945.8,,,,,,,,,,,3865.5,,,,,,,,,,28811.3
013036**** - Медицински институт,,,,,1227,,,,,,,,,,,13256.34,,,,,,,,,,14483.34
013040**** - СДВР,,,,,1025,,,,,,,,,,,,,,,,,,,,,1025
013070**** - ГД "Гранична полиция",,,,,30820,,,,,,,,,,,,,,,,,,,,,30820
0130900008 - САД "Международни проекти",,,,,400,,,,,,,,,,,,,,,,,,,,,400
0131000079 - ОД на МВР - Габрово,,,,,2500,,,,,,,,,,,,,,,,,,,,,2500
0131000211 - ОД на МВР - Смолян,,,,,1000,,,,,,,,,,,2000,,,,,,,,,,3000
0133000000 - Държавна агенция за бежанците,,,,,35651.65,,,,,,,,,,,,,,,,,,,,,35651.65
013700**** - ГД ПБЗН,,,,,11606.86,,,,,,,,,,,,,,,,,,,,,11606.86
