26.11.2012,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,,,,,,400,,,,,,,,,,,,,,,,400
0130310001 - САД "ПУБ",,,,,30354,,,,,,,,,,,,,,,,,,,,,30354
013034**** - Академия на МВР,,,,,,,,,,,,,,,1023.03,,,,,,,,,,,1023.03
0130350004 - ИСТ,,,,,5004,,,,,,,,,,,,,,,,,,,,,5004
013036**** - Медицински институт,,,,,5760.04,,,,,,,,,,,73.88,,,,,,,,,,5833.92
0130370000 - НСПО - ПУБ Китен,8680.5,874.62,42.88,,,,,,,,,,,,,,,,,,,,,,,9598
013040**** - СДВР,122203.88,,,,20481.93,,,,,,,,,,230,216.58,,,,,,,,,,143132.39
013060**** - ГД "Национална полиция",44947.84,,,,3000,,,,,,,,,,,,,,,,,,,,,47947.84
013070**** - ГД "Гранична полиция",23962.32,,,,55158.42,,,,,,,,,,,2523.93,,,,,,,,,,81644.67
0131000021 - ОД на МВР - Бургас,52407,,,,,,,,,,,,,,,,,,,,,,,,,52407
0131000037 - ОД на МВР - Варна,,,,,12353.63,,,,,,,,,,,3394.48,,,,,,,,,,15748.11
0131000042 - ОД на МВР - В. Търново,34068,,,,,,,,,,,,,,,2569.43,,,,,,,,,,36637.43
0131000084 - ОД на МВР - Добрич,,,,,4.82,,,,,,,,,,,,,,,,,,,,,4.82
0131000090 - ОД на МВР - Кърджали,140065.36,,,,,,,,,,,,,,,,,,,,,,,,,140065.36
0131000119 - ОД на МВР - Монтана,,,,,2615.78,,,,,,,,,,,1269.67,,,,,,,,,,3885.45
0131000145 - ОД на МВР - Перник,8456.8,,,,964.13,,,,,,,,,,,927.61,,,,,,,,,,10348.54
0131000150 - ОД на МВР - Плевен,3977.4,,,,,,,,,,,,,,,,,,,,,,,,,3977.4
0131000166 - ОД на МВР - Пловдив,,,860,,,,,,,,,,,,,,,,,,,,,,,860
0131000171 - ОД на МВР - Разград,30447.4,,,,207.91,,,,,,,,,,,,,,,,,,,,,30655.31
0131000187 - ОД на МВР - Русе,200,,,,1841.12,,,,,,,,,,,2651.84,,,,,,,,,,4692.96
0131000192 - ОД на МВР - Силистра,6020.8,,,,112.12,,,,,,,,,,,370,,,,,,,,,,6502.92
0131000206 - ОД на МВР - Сливен,,,,,927.5,,,,,,,,,,,86.26,,,,,,,,,,1013.76
0131000232 - ОД на МВР - Ст.Загора,18116,,,,2560.62,,,,,,,,,,,,,,,,,,,,,20676.62
0131000248 - ОД на МВР - Търговище,23408,,,,,,,,,,,,,,,,,,,,,,,,,23408
0131000253 - ОД на МВР - Хасково,,,,,977.62,,,,,,,,,,,,,,,,,,,,,977.62
0131000269 - ОД на МВР - Шумен,33961.68,,,,,,,,,,,,,,,,,,,,,,,,,33961.68
0131000274 - ОД на МВР - Ямбол,3824.56,,1997.57,,,,,,,,,,,,,,,,,,,,,,,5822.13
0133000000 - Държавна агенция за бежанците,602.91,66.99,,,,,,,,,,,,,,,,,,,,,,,,669.9
013700**** - ГД ПБЗН,135112.72,,,,4424.51,,,,,,,,,,,,,,,,,,,,,139537.23
0138000002 - Дирекция "НС 112",,,,,5879.5,,,,,,,,,,,,,,,,,,,,,5879.5
0139890003 - Фонд за безопасност на движението,,,,,,,,,,,,,,,,1000,,,,,,,,,,1000
