14.03.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,2623.25,,,,,,,,,,,1341.04,,,,,,,,,,3964.29
013031**** - САД "ПУБ",13525.82,,,,65,44740,,,,,,,,,,,,,,,,,,,,58330.82
013032**** - САД "УССД",,,,,15034.56,,,,,200,,,,,,,,,,,,,,,,15234.56
0130330008 - СД "ОТО",,,,,808.33,,,,,,,,,,,8.8,,,,,,,,,,817.13
0130350004 - ИСТ,,,,,1718.9,,,,,,,,,,,,,,,,,,,,,1718.9
013038**** - Дирекция Миграция,,,,,320,,,,,,,,,,,3558.6,,,,,,,,,,3878.6
013060**** - ГД "Национална полиция",,,,,229.37,,,,,,,,,,,,,,,,,,,,,229.37
013070**** - ГД "Гранична полиция",,,,,35734.44,,,,,,,,,,,,,,,,,,,,,35734.44
0131000021 - ОД на МВР - Бургас,,,,,5048.15,,,,,,,,,,,,,,,,,,,,,5048.15
0131000042 - ОД на МВР - В. Търново,,,,,15289.17,,,,,,,,,,,21,,,,,,,,,,15310.17
0131000058 - ОД на МВР - Видин,,,,,372,,,,,,,,,,,,,,,,,,,,,372
0131000090 - ОД на МВР - Кърджали,,,,,50,,,,,,,,,,,,,,,,,,,,,50
0131000103 - ОД на МВР - Кюстендил,,,,,31.25,,,,,,,,,,,,,,,,,,,,,31.25
0131000119 - ОД на МВР - Монтана,,,,,2545.34,,,,,,,,,,,,,,,,,,,,,2545.34
0131000130 - ОД на МВР - Пазарджик,,,,,32819.3,,,,,,,,,,,,,,,,,,,,,32819.3
0131000166 - ОД на МВР - Пловдив,,,,,4359.45,,,,,,,,,,,1099.19,,,,,,,,,,5458.64
0131000192 - ОД на МВР - Силистра,,,,,51.01,,,,,,,,,,,,,,,,,,,,,51.01
0131000211 - ОД на МВР - Смолян,,,,,3295.55,,,,,,,,,,,,,,,,,,,,,3295.55
0131000227 - ОД на МВР - София,,,,,,,,,,,,,,,,11390.93,,,,,,,,,,11390.93
0131000253 - ОД на МВР - Хасково,,,,,1487.44,,,,,,,,,,,,,,,,,,,,,1487.44
0131000269 - ОД на МВР - Шумен,,,,,372,,,,,,,,,,,,,,,,,,,,,372
0133000000 - Държавна агенция за бежанците,,,,,47531.8,,,,,,,,,,,,,,,,,,,,,47531.8
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,,,,,2403.6,,,,,,,,,,,,,,,,,,,,,2403.6
013700**** - ГД ПБЗН,,,,,13889.27,,,,,,,,,,360,88373.37,,,,,,,,,,102622.64
0138000002 - Дирекция "НС 112",,,,,924.34,,,,,,,,,,,,,,,,,,,,,924.34
