17.09.2012,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
0130000006 - МВР ЦУ,,,,,150000,,,,,,,,,,,,,,,,,,,,,150000
013032**** - САД "УССД",,,,,9112.63,,,,,,,,,,,35554.61,,,,,,,,,,44667.24
0130350004 - ИСТ,,,,,769.46,,,,,,,,,,,,,,,,,,,,,769.46
013070**** - ГД "Гранична полиция",,,,,1907.21,,,,,,,,,,,,,,,,,,,,,1907.21
0131000016 - ОД на МВР - Благоевград,,,,,790.68,,,,,,,,,,,,,,,,,,,,,790.68
0131000042 - ОД на МВР - В. Търново,,,,,1643.92,,,,,,,,,,,452.12,,,,,,,,,,2096.04
0131000058 - ОД на МВР - Видин,,,,,679.39,,,,,,,,,,,,,,,,,,,,,679.39
0131000090 - ОД на МВР - Кърджали,,,,,5529.23,,,,,,,,,,,,,,,,,,,,,5529.23
0131000124 - ОД на МВР - Ловеч,,,,,60,,,,,,,,,,,,,,,,,,,,,60
0131000166 - ОД на МВР - Пловдив,,,,,2320.12,,,,,,,,,,,6702.88,,,,,,,,,,9023
0131000171 - ОД на МВР - Разград,,,,,255.02,,,,,,,,,,,,,,,,,,,,,255.02
0131000192 - ОД на МВР - Силистра,,,,,342,,,,,,,,,,,,,,,,,,,,,342
0131000253 - ОД на МВР - Хасково,,,,,27.35,,,,,,,,,,,,,,,,,,,,,27.35
0131000274 - ОД на МВР - Ямбол,,,,,6299.49,,,,,,,,,,,,,,,,,,,,,6299.49
0134000004 - САД "КИС",1300,,,,29410.77,,,,,,,,,,,,,,,,,,,,,30710.77
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,,,,,664.49,,,,,,,,,,,,,,,,,,,,,664.49
013700**** - ГД ПБЗН,,,,,2193.72,,,,,,,,,,,,,,,,,,,,,2193.72
