20.08.2012,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
013032**** - САД "УССД",,,,,26588.84,,,,,,,,,,,10507.02,,,,,,,,,,37095.86
0130350004 - ИСТ,,,,,107.71,,,,,,,,,,,,,,,,,,,,,107.71
0130380009 - Дирекция Миграция,,,,,220.61,,,,,,,,,,,,,,,,,,,,,220.61
013060**** - ГД "Национална полиция",,,,,5293.68,,,,,,,,,,,,,,,,,,,,,5293.68
013070**** - ГД "Гранична полиция",800,,,,637,,,,,,,,,,,2247.38,,,,,,,,,,3684.38
0131000021 - ОД на МВР - Бургас,,,,,8830.94,,,,,14302.1,,,,,,200,,,,,,,,,,23333.04
0131000058 - ОД на МВР - Видин,,,,,345.6,,,,,,,,,,,,,,,,,,,,,345.6
0131000063 - ОД на МВР - Враца,,,,,2500,,,,,,,,,,,,,,,,,,,,,2500
0131000079 - ОД на МВР - Габрово,,,,,192.66,,,,,,,,,,,,,,,,,,,,,192.66
0131000119 - ОД на МВР - Монтана,,,,,168,,,,,,,,,,,,,,,,,,,,,168
0131000124 - ОД на МВР - Ловеч,,,,,10193.19,,,,,,,,,,,,,,,,,,,,,10193.19
0131000166 - ОД на МВР - Пловдив,,,,,4220.11,,,,,,,,,,,,,,,,,,,-2569000,,-2564779.89
0131000211 - ОД на МВР - Смолян,,,,,300,,,,,,,,,,,,,,,,,,,,,300
0131000227 - ОД на МВР - София,943.5,97.5,,,2503.68,,,,,,,,,,,,,,,,,,,,,3544.68
0131000232 - ОД на МВР - Ст.Загора,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
0135000009 - СПЕЦИАЛНА КУРИЕРСКА СЛУЖБА,,,,,65.54,,,,,,,,,,,,,,,,,,,,,65.54
0136000003 - ГДБОП,,,,,15284.84,,,,,,,,,,,,,,,,,,,,,15284.84
