31.10.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
013031**** - САД "ПУБ",,,,,15620.93,,,,,,,,,,,,,,,,,,,,,15620.93
013032**** - САД "УССД",268.59,,,,128509.97,,,,,85396.29,,,,,,33097.93,,,,,,,,,,247272.78
013034**** - Академия на МВР,400,,,,1968.99,,,,,,,,,,,276.08,,,,,,,,,,2645.07
013036**** - Медицински институт,,,,,562.28,,,,,,,,,,,,,,,,,,,,,562.28
013060**** - ГД "Национална полиция",,,,,2517.83,,,,,,,,,,,,,,,,,,,,,2517.83
013070**** - ГД "Гранична полиция",317.03,,,,620.81,,,,,,,,,,,6119.73,,,,,,,,,,7057.57
013700**** - ГД ПБЗН,,,,,32954.79,,,,,,,,,2665588.2,,,,,,,,,,,,2698542.99
