12.02.2013,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
013031**** - САД "ПУБ",,,,,412,,,,,,,,,,,,,,,,,,,,,412
013032**** - САД "УССД",,,,,17963.01,,,,,,,,,,,4179.58,,,,,,,,,,22142.59
013034**** - Академия на МВР,,,,,160,,,,,,,,,,,,,,,,,,,,,160
0130350004 - ИСТ,,,,,524.46,,,,,,,,,,,,,,,,,,,,,524.46
013036**** - Медицински институт,2657.58,,,,3846.07,,,,,,,,,,96.2,14095.6,,,,,,,,,,20695.45
0130370000 - НСПО - ПУБ Китен,,,,,1000,,,,,,,,,,,,,,,,,,,,,1000
013070**** - ГД "Гранична полиция",,,,,271.4,,,,,,,,,,,,,,,,,,,,,271.4
0131000021 - ОД на МВР - Бургас,,,,,2372,,,,,,,,,,,,,,,,,,,,,2372
0131000042 - ОД на МВР - В. Търново,20225,,,,16.55,,,,,,,,,,25,276.75,,,,,,,,,,20543.3
0131000063 - ОД на МВР - Враца,12300,,,,,,,,,,,,,,,,,,,,,,,,,12300
0131000103 - ОД на МВР - Кюстендил,,,,,,,,,,,,,,,,14021.12,,,,,,,,,,14021.12
0131000166 - ОД на МВР - Пловдив,,,,,8211.22,,,,,,,,,,,,,,,,,,,,,8211.22
0131000192 - ОД на МВР - Силистра,,,,,,,,,,,,,,,,14629.33,,,,,,,,,,14629.33
0131000206 - ОД на МВР - Сливен,,,,,,,,,,,,,,,,952.34,,,,,,,,,,952.34
0131000253 - ОД на МВР - Хасково,,,,,476.99,,,,,,,,,,,70.95,,,,,,,,,,547.94
0133000000 - Държавна агенция за бежанците,,,,,13062.88,,,,,,,,,,,,,,,,,,,,,13062.88
013700**** - ГД ПБЗН,,,,,5111.86,,,,,,,,,,,41589.92,,,,,,,,,,46701.78
