date,entityid,01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99
120801,13,,,,,2.07,,,,,,,,,,,,,,,,,,,,
120801,37,,,,,5201.08,,,,,,,,,,,,,,,,,,,,
120802,2,400,,,,101309.34,,,,2000,,,,,,,,,,,,,,,,
120802,8,,,,,1354.98,,,,,,,,,,,25702.1,,,,,,,,,
120802,9,,,,,4856.58,,,,,,,,,,,17752.19,,,,,,,,,
120802,14,,,,,5560,,,,,,,,,,,,,,,,,,,,
120802,26,,,,,1393.82,,,,,,,,,,,,,,,,,,,,
120802,43,,,,,10000,,,,,,,,,,,,,,,,,,,,
120802,46,,,,,5000,,,,,,,,,,,,,,,,,,,,
120802,47,300,,,,102292.87,,,,,,,,,,101.88,,,,,,,,,,
120803,1,,,,,44909.23,,,,,,,,,,,,,,,,,,,,
120803,2,,77.25,,,99312.37,,,,,,,,,,50,,,,,,,,,,
120803,4,,,,,1580.66,,,,,,,,,,,130033.77,,,,,,,,,
120803,6,2559.77,43.91,,,833.9,,,,,,,,,,,,,,,,,,,,
120803,8,,,,,847.65,,,,,,,,,,,741.16,,,,,,,,,
120803,14,1200,,942.99,,36300.38,,,,,,,,,,,14799.69,,,,,,,,,
120803,15,,,,,4634.45,,,,,,,,,,,,,,,,,,,,
120803,17,,,,,5000,,,,,,,,,,,5000,,,,,,,,,
120803,18,,,,,17420.42,,,,,,,,,,,,,,,,,,,,
120803,22,,,,,1400.8,,,,,,,,,,,1151.64,,,,,,,,,
120803,24,,,,,5987.95,,,,,,,,,,,2000,,,,,,,,,
120803,26,,,,,790.02,,,,,,,,,,,,,,,,,,,,
120803,29,,,,,2516.18,,,,,,,,,,,,,,,,,,,,
120803,34,,,,,2341.8,,,,,,,,,,,,,,,,,,,,
120803,36,,,,,12257.59,,,,,,,,,,,2000,,,,,,,,,
120803,40,,,,,1000,,,,,,,,,,,,,,,,,,,,
120803,44,4000,,,,,,,,,,,,,,,,,,,,,,,,
120803,47,175,,1418.73,,76907.2,,,,,,,,,,,10.4,,,,,,,,,
120803,48,,,,,236.32,,,,,,,,,,,,,,,,,,,,
120806,1,,,,,707674.66,,,,,2253.6,,,,,,,,,,,,,,,
120806,4,,,,,1944.76,,,,,,,,,,,18040.59,,,,,,,,,
120806,5,,,,,10000,,,,,,,,,,,10000,,,,,,,,,
120806,6,,,,,13551,,,,,,,,,,,,,,,,,,,,
120806,7,,,,,179.7,,,,,,,,,,,,,,,,,,,,
120806,8,266.67,,,,82878.52,,,,,,,,,,,261.06,,,,,,,,,
120806,13,,,,,9028.76,,,,,,,,,,,,,,,,,,,,
120806,14,412,,,,20331.89,,,,,1450.62,,,,,,1716.03,,,,,,,,,
120806,16,,,,,,,,,,,,,,,,300,,,,,,,,,
120806,17,,,,,40,,,,,,,,,,,,,,,,,,,,
120806,19,647.22,,,,15390.87,,,,,,,,,,,75.1,,,,,,,,,
120806,20,,,,,6882.34,,,,,,,,,,,,,,,,,,,,
120806,25,,,,,2000,,,,,,,,,,,10000,,,,,,,,,
120806,26,,,,,,,,,,4865,,,,,,,,,,,,,,,
